rank,scope,method,result_dir,avg_main_correctness,avg_main_recall,avg_sentence_citation_recall,avg_sentence_citation_precision,avg_claim_citation_recall,avg_claim_citation_precision,selection_note
1,complete_non_oracle,bge_rerank_rag_cover_v13,alce/result/bge_rerank_rag_cover_v13_full,27.4188,24.3339,54.6919,45.8593,96.8868,80.1234,Best complete three-dataset non-oracle result by average main correctness; already frozen as paper main result.
2,complete_non_oracle,vanilla_rag_cover_v13,alce/result/cover_v3_recall_completion_v13_integrated_explanation_full,26.3734,24.1295,51.5243,43.0558,96.6325,79.8299,Best frozen vanilla-RAG main result.
3,complete_non_oracle,dynamic_retrieval_v2_facet_guard,alce/result/cover_v3_dynamic_retrieval_v2_facet_guard_full,26.2881,24.1579,52.3621,44.4296,95.7344,79.6100,Best completed dynamic-retrieval controller-style run so far, but not selected as main because gains over v13 are not better overall.
4,complete_non_oracle,self_rag_cover_v13,alce/paper/main_results/self_rag_cover_v13,26.1510,22.9497,58.7341,50.0392,94.8199,78.9132,Frozen Self-RAG plug-in main result.
NA,incomplete_non_oracle,dynamic_retrieval_v3_coverage_guided_fast,alce/result/cover_v3_dynamic_retrieval_v3_coverage_guided_fast_full,NA,NA,NA,NA,NA,NA,Coverage-guided controller code path is enabled, but ELI5/QAMPARI v3 metrics are incomplete, so this run is not selected.
