dataset,tag,model,shot,ndoc,answer_length,str_em,str_hit,qa_f1,rougeLsum,mauve,claims_nli,num_preds,qampari_prec,qampari_rec,qampari_rec_top5,qampari_f1,qampari_f1_top5,citation_recall,citation_precision,claim_citation_recall,claim_citation_precision,claim_citation_sentence_recall,claim_count,claim_support_rate,claim_support_rate_macro,claim_unsupported_rate,avg_claims_per_example,no_citation_claim_count,wrong_missing_citation_claim_count
asqa,bge_rerank_default,gpt-4o-mini,2,5,52.6361,42.7655,16.2447,34.5519,38.4165,61.1629,,,,,,,,67.4666,57.1624,51.6714,60.7538,29.2583,6402,51.6714,51.8955,48.3286,6.7532,17,2982
eli5,bge_rerank_default,gpt-4o-mini,2,5,96.3900,0.0000,0.0000,,21.3376,19.2812,20.0667,,,,,,,56.7700,50.3300,46.5432,60.6145,23.8261,12092,46.5432,45.7630,53.4568,12.0920,30,6024
qampari,bge_rerank_default,gpt-4o-mini,2,5,15.6580,0.0000,0.0000,,,,,4.3810,27.5509,14.3875,23.8800,17.0722,24.1783,28.1951,28.7593,30.2400,31.2188,26.9173,4666,30.2400,27.2009,69.7600,4.6660,28,3124
