dataset,tag,model,shot,ndoc,answer_length,str_em,str_hit,qa_em,qa_f1,qa_hit,rougeLsum,mauve,claims_nli,num_preds,qampari_prec,qampari_rec,qampari_rec_top5,qampari_f1,qampari_f1_top5,citation_recall,citation_precision,claim_citation_recall,claim_citation_precision,claim_citation_sentence_recall,v3_examples,v3_draft_claims,v3_initial_supported,v3_recovered_claims,v3_expanded_claims,v3_draft_aligned_kept,v3_verified_plus_expanded,v3_kept_claims,v3_rejected_claims,v3_recovery_attempted,v3_recovery_successful,v3_recovery_success_rate,v3_expansion_candidates,v3_expansion_attempted,v3_expansion_successful,v3_expansion_success_rate,v3_expanded_answer_spans,v3_recall_target_mismatch,v3_recall_no_targets,v3_expansion_low_answer_unit_score,v3_expansion_low_target_relevance,v3_expansion_low_explanatory_precision,v3_expansion_surface_filtered,v3_explanation_render_examples,v3_explanation_render_selected,v3_explanation_render_length_limited,v3_candidate_selection_examples,v3_candidate_selection_changed,v3_candidate_selection_candidates,v3_candidate_selection_audit_failures,v3_candidate_selected_current,v3_candidate_selected_base,v3_candidate_selected_integrated,v3_candidate_selected_recall,v3_keep_rate,v3_rejected_rate,v3_avg_revised_length,v3_avg_revised_citations,v3_avg_doc_pool_size,v3_draft_supported,v3_draft_wrong_missing,v3_draft_not_supported,v3_draft_no_citation,final_claims,final_claim_support_rate,final_claim_unsupported_rate,final_no_citation_claims
asqa,gtr,gpt-4o-mini,2,5,40.9821,43.2261,17.4051,25.6769,32.6665,4.8523,37.5272,39.4864,,,,,,,,81.2525,69.3626,94.2885,71.9105,87.1888,948,4089,3770,190,922,3960,4882,4882,80,196,190,96.9388,6932,5862,922,15.7284,922,134,0,0,0,0,452,4,2,1,0,0,0,0,,,,,96.8452,1.9565,43.6139,3.0897,99.8196,3878,,186,25,5060,94.2885,5.7115,52
eli5,bm25,gpt-4o-mini,2,5,83.4640,0.0000,0.0000,,,,21.3713,21.8737,18.6000,,,,,,,58.1108,43.8517,95.3519,70.0393,91.2671,1000,9721,8852,605,1168,9457,10625,10625,219,629,605,96.1844,4610,3312,1168,35.2657,1168,83,107,0,0,55,111,594,177,214,0,0,0,0,,,,,97.2842,2.2529,88.2250,4.0350,89.8250,9075,,555,91,10671,95.3519,4.6481,110
qampari,gtr,gpt-4o-mini,2,5,7.9710,0.0000,0.0000,,,,,,,3.3310,32.8915,13.1232,22.3400,16.6269,24.3487,36.8389,36.9032,94.8193,94.7898,94.8193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
